Building,Date,ExpId,SSID,Addr,RSSI

premier,02_06_2021,15.1,eduroamb,3890a5600b41,-54

premier,02_06_2021,15.1,telephoneb,3890a5600b42,-54

premier,02_06_2021,15.1,uhab,3890a5600b40,-54

premier,02_06_2021,15.1,uhab,3890a5298a00,-84

premier,02_06_2021,15.1,uhab,3890a54ca360,-86

premier,02_06_2021,15.1,eduroamb,3890a54ca361,-86

premier,02_06_2021,15.1,telephoneb,3890a54ca362,-87

premier,02_06_2021,15.1,uhab,3890a5573840,-92

premier,02_06_2021,15.1,eduroamb,3890a5573841,-93

premier,02_06_2021,15.1,telephoneb,3890a5573842,-93

premier,02_06_2021,15.1,eduroamb,3890a5298a01,-84

premier,02_06_2021,15.1,uhab,3890a5298a00,-84

premier,02_06_2021,15.1,telephoneb,3890a5298a02,-85

premier,02_06_2021,15.1,uhab,3890a54ca360,-86

premier,02_06_2021,15.1,eduroamb,3890a54ca361,-86

premier,02_06_2021,15.1,telephoneb,3890a54ca362,-86

premier,02_06_2021,15.1,telephoneb,3890a5298a02,-84

premier,02_06_2021,15.1,uhab,3890a5298a00,-84

premier,02_06_2021,15.1,eduroamb,3890a5298a01,-84

premier,02_06_2021,15.1,telephoneb,3890a54ca362,-87

premier,02_06_2021,15.1,eduroamb,3890a54ca361,-88

premier,02_06_2021,15.1,uhab,3890a54ca360,-88

premier,02_06_2021,15.1,telephoneb,3890a5298a02,-83

premier,02_06_2021,15.1,eduroamb,3890a5298a01,-84

premier,02_06_2021,15.1,uhab,3890a5298a00,-85

premier,02_06_2021,15.1,eduroamb,3890a54ca361,-87

premier,02_06_2021,15.1,telephoneb,3890a54ca362,-87

premier,02_06_2021,15.1,uhab,3890a54ca360,-88

premier,02_06_2021,15.1,telephoneb,3890a5298a02,-79

premier,02_06_2021,15.1,eduroamb,3890a5298a01,-84

premier,02_06_2021,15.1,uhab,3890a5298a00,-85

premier,02_06_2021,15.1,eduroamb,3890a54ca361,-87

premier,02_06_2021,15.1,uhab,3890a54ca360,-88

premier,02_06_2021,15.1,telephoneb,3890a54ca362,-88

premier,02_06_2021,15.1,eduroamb,3890a5298a01,-84

premier,02_06_2021,15.1,telephoneb,3890a5298a02,-84

premier,02_06_2021,15.1,uhab,3890a5298a00,-85

premier,02_06_2021,15.1,eduroamb,3890a54ca361,-87

premier,02_06_2021,15.1,telephoneb,3890a54ca362,-88

premier,02_06_2021,15.1,uhab,3890a54ca360,-89

premier,02_06_2021,15.1,telephoneb,3890a5298a02,-83

premier,02_06_2021,15.1,uhab,3890a5298a00,-84

premier,02_06_2021,15.1,eduroamb,3890a5298a01,-84

premier,02_06_2021,15.1,eduroamb,3890a54ca361,-86

premier,02_06_2021,15.1,telephoneb,3890a54ca362,-87

premier,02_06_2021,15.1,uhab,3890a54ca360,-88

premier,02_06_2021,15.1,uhab,3890a5298a00,-84

premier,02_06_2021,15.1,eduroamb,3890a5298a01,-84

premier,02_06_2021,15.1,telephoneb,3890a5298a02,-84

premier,02_06_2021,15.1,eduroamb,3890a54ca361,-86

premier,02_06_2021,15.1,telephoneb,3890a54ca362,-86

premier,02_06_2021,15.1,uhab,3890a54ca360,-87

premier,02_06_2021,15.1,uhab,3890a5298a00,-85

premier,02_06_2021,15.1,eduroamb,3890a5298a01,-85

premier,02_06_2021,15.1,telephoneb,3890a5298a02,-85

premier,02_06_2021,15.1,eduroamb,3890a54ca361,-86

premier,02_06_2021,15.1,telephoneb,3890a54ca362,-88

premier,02_06_2021,15.1,uhab,3890a54ca360,-90

premier,02_06_2021,15.1,uhab,3890a5298a00,-82

